,dates,weekday,end_of_week,end_of_month
185,2013-02-25,0,False,False
186,2013-02-26,1,False,False
187,2013-02-27,2,False,False
188,2013-02-28,3,False,True
189,2013-03-01,4,True,False
190,2013-03-04,0,False,False
191,2013-03-05,1,False,False
192,2013-03-06,2,False,False
193,2013-03-07,3,False,False
194,2013-03-08,4,True,False
195,2013-03-11,0,False,False
196,2013-03-12,1,False,False
197,2013-03-13,2,False,False
198,2013-03-14,3,False,False
199,2013-03-15,4,True,False
200,2013-03-18,0,False,False
201,2013-03-19,1,False,False
202,2013-03-20,2,False,False
203,2013-03-21,3,False,False
204,2013-03-22,4,True,False
205,2013-03-25,0,False,False
206,2013-03-26,1,False,False
207,2013-03-27,2,False,False
208,2013-03-28,3,False,True
209,2013-04-01,0,False,False
210,2013-04-02,1,False,False
211,2013-04-03,2,False,False
212,2013-04-04,3,False,False
213,2013-04-05,4,True,False
214,2013-04-08,0,False,False
215,2013-04-09,1,False,False
216,2013-04-10,2,False,False
217,2013-04-11,3,False,False
218,2013-04-12,4,True,False
219,2013-04-15,0,False,False
220,2013-04-16,1,False,False
221,2013-04-17,2,False,False
222,2013-04-18,3,False,False
223,2013-04-19,4,True,False
224,2013-04-22,0,False,False
225,2013-04-23,1,False,False
226,2013-04-24,2,False,False
227,2013-04-25,3,False,False
228,2013-04-26,4,True,False
229,2013-04-29,0,False,False
230,2013-04-30,1,False,True
231,2013-05-01,2,False,False
232,2013-05-02,3,False,False
233,2013-05-03,4,True,False
234,2013-05-06,0,False,False
235,2013-05-07,1,False,False
236,2013-05-08,2,False,False
237,2013-05-09,3,False,False
238,2013-05-10,4,True,False
239,2013-05-13,0,False,False
240,2013-05-14,1,False,False
241,2013-05-15,2,False,False
242,2013-05-16,3,False,False
243,2013-05-17,4,True,False
244,2013-05-20,0,False,False
245,2013-05-21,1,False,False
246,2013-05-22,2,False,False
247,2013-05-23,3,False,False
248,2013-05-24,4,True,False
249,2013-05-28,1,False,False
250,2013-05-29,2,False,False
251,2013-05-30,3,False,False
252,2013-05-31,4,True,True
253,2013-06-03,0,False,False
254,2013-06-04,1,False,False
255,2013-06-05,2,False,False
256,2013-06-06,3,False,False
257,2013-06-07,4,True,False
258,2013-06-10,0,False,False
259,2013-06-11,1,False,False
260,2013-06-12,2,False,False
261,2013-06-13,3,False,False
262,2013-06-14,4,True,False
263,2013-06-17,0,False,False
264,2013-06-18,1,False,False
265,2013-06-19,2,False,False
266,2013-06-20,3,False,False
267,2013-06-21,4,True,False
268,2013-06-24,0,False,False
269,2013-06-25,1,False,False
270,2013-06-26,2,False,False
271,2013-06-27,3,False,False
272,2013-06-28,4,True,True
