,SOFR30DAYAVG,SOFR,EFFR,AAA,DBAA,T10YIE,T5YIE,MORTGAGE30US,DGS30,DGS1,BAMLH0A0HYM2EY,SOFRVOL,RECPROUSM156N,SAHMREALTIME,ab_bond_spread,junk_bond_spread,int_spread
2010-07-30,,,-0.010000000000000009,0.0,-0.10000000000000053,-0.020000000000000018,-0.020000000000000018,0.0,-0.10000000000000009,-0.010000000000000009,-0.010000000000001563,,0.28,0.13,1.13,3.5699999999999994,3.69
2010-07-31,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000000924,,0.28,0.13,1.13,3.6100000000000003,3.69
2010-08-01,,,0.0,-0.22999999999999954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.16,0.0,1.3599999999999994,3.84,3.69
2010-08-02,,,0.010000000000000009,0.0,0.040000000000000036,0.06000000000000005,0.07000000000000006,0.0,0.07999999999999963,-0.009999999999999953,-0.019999999999999574,,0.16,0.0,1.3999999999999995,3.8200000000000003,3.7799999999999994
2010-08-03,,,0.0,0.0,-0.02999999999999936,0.010000000000000009,0.010000000000000009,0.0,-0.019999999999999574,-0.010000000000000009,-0.05000000000000071,,0.16,0.0,1.37,3.7699999999999996,3.77
2010-08-04,,,0.0,0.0,0.019999999999999574,-0.010000000000000009,-0.010000000000000009,0.0,0.03000000000000025,0.010000000000000009,-0.019999999999999574,,0.16,0.0,1.3899999999999997,3.75,3.79
2010-08-05,,,0.0,0.0,-0.009999999999999787,0.010000000000000009,0.0,-0.04999999999999982,-0.020000000000000462,-0.010000000000000009,-0.009999999999999787,,0.16,0.0,1.38,3.74,3.78
2010-08-06,,,-0.010000000000000009,0.0,-0.07000000000000028,-0.050000000000000044,-0.040000000000000036,0.0,-0.04999999999999982,-0.020000000000000018,-0.019999999999999574,,0.16,0.0,1.3099999999999996,3.7200000000000006,3.75
2010-08-09,,,0.0,0.0,0.009999999999999787,0.0,0.020000000000000018,0.0,0.009999999999999787,0.010000000000000009,-0.010000000000001563,,0.16,0.0,1.3199999999999994,3.709999999999999,3.75
2010-08-10,,,0.0,0.0,0.03000000000000025,0.020000000000000018,0.0,0.0,-0.009999999999999787,-0.010000000000000009,0.02000000000000135,,0.16,0.0,1.3499999999999996,3.7300000000000004,3.75
2010-08-11,,,-0.009999999999999981,0.0,-0.08999999999999986,-0.07000000000000006,-0.050000000000000044,0.0,-0.06999999999999984,0.0,0.10999999999999943,,0.16,0.0,1.2599999999999998,3.84,3.68
2010-08-12,,,0.009999999999999981,0.0,0.03000000000000025,-0.08000000000000007,-0.07999999999999985,-0.04999999999999982,0.009999999999999787,0.0,0.08999999999999986,,0.16,0.0,1.29,3.9299999999999997,3.69
