,EFFR,FEDFUNDS,CSUSHPINSA,T10YIEM,T5YIEM,PSAVERT,CIVPART,TB3MS,REAINTRATREARAT10Y,MORTGAGE30US,IPUTIL,GASREGW,T10Y3MM,UNRATE,H8B1058NCBCMG,RECPROUSM156N,SAHMREALTIME,CSUSHPINSA,INDPRO,HOUST,TOTALSA,MSACSR,DSPIC96,RSXFS,PMSAVE
2003-07-31,-0.4099999999999999,-0.20999999999999996,1.4220000000000255,0.26,0.20999999999999996,0.7999999999999998,-0.29999999999999716,-0.020000000000000018,0.22357322000000013,0.7000000000000002,0.030434402682657735,0.019502353732346878,3.06,6.2,11.2,0.06,0.47,0.010673672358791686,0.005167815929422392,0.016068559185859588,0.006112972432845476,0.028571428571428692,0.012078280472636704,0.010932114380390212,0.16050756901157603
2003-08-29,-0.030000000000000027,0.020000000000000018,1.3179999999999836,0.2599999999999998,0.31999999999999984,-0.1999999999999993,-0.10000000000000853,0.04999999999999993,0.6230154999999999,0.3799999999999999,0.004959862111805213,0.15237467018469664,3.48,6.1,10.0,0.22,0.47,0.009788558230038324,-0.002239816418579732,-0.03373748023194523,0.06689256294911483,-0.02777777777777779,0.006931976381354676,0.01687567678304891,-0.015346249760214814
2003-09-30,0.15999999999999992,-0.020000000000000018,1.11099999999999,-0.04999999999999982,0.0,-0.8000000000000007,0.0,-0.010000000000000009,0.14553379,-0.33999999999999986,-0.0092062460708906,-0.08929593589009743,3.31,6.1,-3.4,0.02,0.37,0.008171220534696433,0.006577019754190783,0.05782869612656838,-0.05344431059029675,0.08571428571428563,-0.011308485177875083,-0.005522277984638335,-0.14455484122345597
2003-10-31,-0.19999999999999996,0.0,0.9000000000000057,0.1299999999999999,0.09000000000000008,0.20000000000000018,0.0,-0.019999999999999907,-0.51641889,-0.040000000000000036,0.00554015440891531,-0.030798240100565644,3.35,6.0,-8.2,0.04,0.3,0.006565700779129768,0.0012868928431906124,0.014440433212996373,-0.046106675922712004,0.0,0.0037901071452681734,-0.006026842238541441,0.03233887497153276
2003-11-28,0.040000000000000036,-0.010000000000000009,0.7889999999999873,0.1299999999999999,0.040000000000000036,0.0,0.0,0.010000000000000009,0.3330822899999999,-0.05000000000000071,0.002398023139599914,-0.01945525291828798,3.35,5.8,7.2,0.04,0.23,0.005718385806227078,0.006841492669438898,0.05897305541433662,0.06513433197889484,0.07894736842105265,0.006004765381806942,0.012861946979953798,0.013236267372600974
2003-12-31,-0.07000000000000006,-0.020000000000000018,0.8629999999999995,-0.04999999999999982,0.020000000000000018,-0.09999999999999964,-0.19999999999998863,-0.030000000000000027,-0.00032898999999986245,-0.040000000000000036,0.012019522746788525,-0.022486772486772555,3.36,5.7,5.9,0.32,0.03,0.006219147479551657,0.0004960570519885188,-0.012481997119539123,-0.01172920343904793,-0.024390243902438935,0.0007735724722803816,-0.002464983578753688,-0.010668408447637834
2004-01-30,0.09000000000000008,0.020000000000000018,1.0770000000000266,-0.03000000000000025,-0.010000000000000231,-0.2999999999999998,0.19999999999998863,-0.020000000000000018,-0.011618300000000081,-0.16999999999999993,0.017156609505799114,0.09742895805142093,3.25,5.7,8.1,0.22,-0.1,0.007713352622683356,0.0016794651749658662,-0.07097715119105497,-0.03814023160684443,-0.050000000000000044,-0.0006012024048095421,0.0046863968416350765,-0.06382042253521125
2004-02-27,0.010000000000000009,0.010000000000000009,1.3239999999999839,0.06000000000000005,0.18000000000000016,0.0,-0.09999999999999432,0.050000000000000044,-0.13037362000000008,-0.09999999999999964,0.00945504467418834,0.040690505548705236,3.14,5.6,13.7,0.08,-0.1,0.0094097580043353,0.006068647307938102,-0.03401360544217691,0.020185684336627707,-0.02631578947368407,0.00177604629178707,0.007238816405115589,0.0021156558533146352
2004-03-31,0.010000000000000009,-0.010000000000000009,2.051000000000016,0.040000000000000036,0.06000000000000005,-0.20000000000000018,0.0,0.009999999999999898,-0.10141607999999991,-0.17999999999999972,-0.0404349545194429,0.041469194312796276,2.88,5.8,16.4,0.04,0.0,0.014440712812172185,-0.0038196825615557373,0.08234019501625145,0.012623297322686744,-0.027027027027027084,0.004031912155786355,0.018783905001922063,-0.01782782078348588
2004-04-30,-0.020000000000000018,0.0,2.0989999999999895,0.0900000000000003,0.10000000000000009,0.39999999999999947,-0.09999999999999432,0.0,-0.11201525000000001,0.6099999999999994,0.015564919506040997,0.030716723549488067,3.39,5.6,12.0,0.06,0.0,0.014568295391449215,0.0040753248858509394,0.0025025025025025016,-0.020235403258537676,0.11111111111111116,0.0034176349965824304,-0.011379795883427857,0.08048722235490802
2004-05-28,-0.010000000000000009,0.0,2.155000000000001,0.17999999999999972,0.13999999999999968,0.0,0.09999999999999432,0.08000000000000007,0.52509575,0.3100000000000005,0.019964745394997596,0.13907284768211925,3.68,5.6,19.4,0.02,0.0,0.014742199631958108,0.007256516011262537,-0.010983524712930626,0.07622203811101902,-0.050000000000000044,0.005080608537692877,0.018731092199383736,0.0053050397877985045
2004-06-30,0.3599999999999999,0.030000000000000027,2.1839999999999975,-0.04999999999999982,0.010000000000000231,0.5,0.09999999999999432,0.25,0.06333095000000011,-0.07000000000000028,-0.022955758420503125,-0.06928294573643412,3.44,5.6,7.9,0.86,-0.03,0.014723529332452356,-0.007711804820919821,-0.07723372034326093,-0.11068954140547682,0.026315789473684292,0.0008001280204832373,-0.014289579950876319,0.10883905013192607
2004-07-30,-0.08999999999999986,0.22999999999999998,1.8190000000000168,-0.10000000000000009,-0.1200000000000001,-0.5999999999999996,0.0,0.06000000000000005,-0.012777490000000169,-0.16999999999999993,-0.015126126060121425,-0.008328995314940135,3.14,5.5,11.1,0.18,-0.03,0.012084933363451622,0.0074196039072991216,0.09518599562363228,0.07024052433067474,0.15384615384615397,0.002473710942643814,0.011350318336835308,-0.10132857426135244
