,port_return,bench_return
2020-06-01,0.008571873010256637,
2020-06-02,0.007415468254851065,
2020-06-03,0.01973447139061557,
2020-06-04,0.006867352789772241,
2020-06-05,0.027230774301676197,
2020-06-08,0.014276779369581938,
2020-06-09,-0.015757762338038828,
2020-06-10,-0.019925394832339238,
2020-06-11,-0.06313737280001475,
2020-06-12,0.016298455795211497,
2020-06-15,0.011967204583005486,
2020-06-16,0.01725195937792856,
2020-06-17,-0.008637356703783405,
2020-06-18,0.0010780802244023668,
2020-06-19,-0.005916966852863137,
2020-06-22,-0.0017244444722815944,
2020-06-23,0.001659915931383038,
2020-06-24,-0.02643785343939742,
2020-06-25,0.01578980007378772,
2020-06-26,-0.028806336238294983,
2020-06-29,0.01620748140167838,
2020-07-01,0.002615590196208384,297.9291076660156
2020-07-02,0.01065947903064246,299.5698547363281
2020-07-06,0.0162713967269974,304.1943359375
2020-07-07,-0.01057468625271496,301.05694580078125
2020-07-08,-0.0011517921802615128,303.3596496582031
2020-07-09,-0.010532919768001858,301.6325988769531
2020-07-10,0.016321054585625605,304.7124328613281
2020-07-13,-0.00624374712434872,302.0740051269531
2020-07-14,0.01909560704586477,305.988525390625
2020-07-15,0.01582287363299706,308.7996826171875
2020-07-16,-0.0003177990372137396,307.7827453613281
2020-07-17,0.0005352442960537829,308.6749572753906
2020-07-20,0.0008333404989906423,311.1695861816406
2020-07-21,0.011091468483807043,311.83160400390625
2020-07-22,0.007352566976659647,313.6065979003906
2020-07-23,-0.007967060562855788,309.8646545410156
2020-07-24,-0.0018422171501972784,307.8690490722656
2020-07-27,0.008873096420384918,310.1141357421875
2020-07-28,-0.014874290383878996,308.14727783203125
2020-07-29,0.010729376286678027,311.9371032714844
2020-07-30,-0.012923139339294787,310.8241577148437
2020-08-03,-0.003151414193683033,315.45831298828125
2020-08-04,0.01090927877428638,316.67681884765625
2020-08-05,0.003924777507719579,318.6436767578125
2020-08-06,0.002566065422803243,320.7736511230469
2020-08-07,0.004513948175109306,321.0039367675781
2020-08-10,0.008312136308017415,321.9634094238281
2020-08-11,-0.006046612731407164,319.30572509765625
2020-08-12,0.012660453423972928,323.7575378417969
2020-08-13,-0.0024947476215104736,323.1722717285156
2020-08-14,0.000349926096499642,323.1818542480469
2020-08-17,0.007839166471702796,324.2085266113281
2020-08-18,0.0029790958646478405,324.908935546875
